DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-04-27 20:10:24.510,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1307919,0.9909,-0.0040,-0.0787,-0.1091,-0.0033,-0.0019,0.4885,0
1308085,0.9909,-0.0039,-0.0787,-0.1090,0.0148,-0.0120,0.5124,0
1308252,0.9909,-0.0039,-0.0789,-0.1086,-0.0018,0.0013,0.5202,0
1308419,0.9909,-0.0039,-0.0789,-0.1086,0.0034,0.0020,0.4844,0
1308585,0.9909,-0.0038,-0.0789,-0.1085,0.0069,-0.0070,0.4862,0
1308752,0.9910,-0.0037,-0.0789,-0.1083,-0.0020,-0.0114,0.5041,0
1308919,0.9910,-0.0037,-0.0790,-0.1083,-0.0082,-0.0168,0.4958,0
1309085,0.9910,-0.0037,-0.0789,-0.1082,0.0096,-0.0176,0.5153,0
1309252,0.9910,-0.0036,-0.0789,-0.1081,-0.0121,-0.0097,0.5280,0
1309419,0.9910,-0.0036,-0.0789,-0.1079,0.0214,-0.0107,0.4969,0
1309585,0.9910,-0.0035,-0.0789,-0.1077,0.0060,-0.0066,0.5006,0
1309752,0.9910,-0.0035,-0.0789,-0.1076,-0.0020,-0.0152,0.4946,0
1309919,0.9911,-0.0034,-0.0789,-0.1075,0.0031,-0.0119,0.5222,0
1310085,0.9911,-0.0033,-0.0789,-0.1073,-0.0016,-0.0085,0.5156,0
1310252,0.9911,-0.0033,-0.0789,-0.1072,0.0071,-0.0070,0.5076,0
1310419,0.9911,-0.0032,-0.0789,-0.1070,-0.0052,-0.0120,0.5017,0
1310585,0.9911,-0.0031,-0.0789,-0.1069,0.0011,-0.0041,0.5004,0
1310752,0.9911,-0.0031,-0.0789,-0.1068,-0.0019,-0.0035,0.5177,0
1310919,0.9912,-0.0030,-0.0789,-0.1066,0.0020,-0.0178,0.4945,0
1311085,0.9912,-0.0029,-0.0789,-0.1065,-0.0058,-0.0247,0.5066,0
