DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-04-27 20:10:24.850,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1322450,0.9798,-0.0147,-0.0736,-0.1851,0.0122,-0.0115,-0.0294,0
1322616,0.9798,-0.0143,-0.0737,-0.1852,-0.0080,-0.0055,-0.0441,0
1322783,0.9798,-0.0140,-0.0738,-0.1852,-0.0046,-0.0219,-0.0268,0
1322950,0.9798,-0.0137,-0.0738,-0.1853,-0.0014,-0.0204,-0.0113,0
1323116,0.9798,-0.0135,-0.0739,-0.1854,0.0030,-0.0276,-0.0294,0
1323283,0.9798,-0.0132,-0.0740,-0.1854,-0.0063,-0.0253,-0.0227,0
1323450,0.9799,-0.0129,-0.0740,-0.1850,-0.0088,-0.0228,-0.0157,0
1323616,0.9799,-0.0126,-0.0741,-0.1848,-0.0093,-0.0324,-0.0272,0
1323783,0.9799,-0.0123,-0.0742,-0.1847,-0.0158,-0.0424,-0.0178,0
1323950,0.9799,-0.0120,-0.0742,-0.1846,-0.0246,-0.0475,-0.0230,0
1324116,0.9799,-0.0117,-0.0742,-0.1847,-0.0121,-0.0441,-0.0191,0
1324283,0.9799,-0.0114,-0.0743,-0.1845,-0.0046,-0.0680,-0.0296,0
1324450,0.9800,-0.0111,-0.0743,-0.1845,-0.0122,-0.0689,-0.0035,0
1324616,0.9799,-0.0108,-0.0744,-0.1847,-0.0173,-0.0658,-0.0229,0
1324783,0.9799,-0.0105,-0.0744,-0.1846,-0.0231,-0.0758,-0.0268,0
1324950,0.9800,-0.0102,-0.0745,-0.1844,-0.0194,-0.0776,-0.0142,0
1325116,0.9799,-0.0099,-0.0745,-0.1845,-0.0268,-0.0876,-0.0222,0
1325283,0.9799,-0.0096,-0.0746,-0.1845,-0.0218,-0.1083,-0.0064,0
1325450,0.9800,-0.0093,-0.0746,-0.1845,-0.0257,-0.1001,-0.0209,0
1325616,0.9800,-0.0090,-0.0747,-0.1843,-0.0324,-0.0965,-0.0156,0
1325783,0.9800,-0.0087,-0.0747,-0.1842,-0.0186,-0.1171,-0.0248,0
1325950,0.9800,-0.0084,-0.0748,-0.1841,-0.0277,-0.1218,-0.0112,0
1326116,0.9800,-0.0081,-0.0748,-0.1840,-0.0364,-0.1233,-0.0281,0
1326283,0.9800,-0.0079,-0.0749,-0.1840,-0.0281,-0.1355,-0.0066,0
1326450,0.9801,-0.0075,-0.0749,-0.1837,-0.0330,-0.1200,-0.0292,0
1326616,0.9801,-0.0072,-0.0750,-0.1836,-0.0384,-0.1335,-0.0134,0
