DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:47:50.689,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
478812,0.9980,0.0051,-0.0014,0.0634,0.0120,0.0222,0.1719,0
478978,0.9980,0.0054,-0.0015,0.0633,0.0149,-0.0073,0.1703,0
479145,0.9980,0.0054,-0.0016,0.0636,0.0077,-0.0107,0.1647,0
479312,0.9979,0.0053,-0.0018,0.0638,0.0146,0.0040,0.1465,0
479478,0.9979,0.0053,-0.0019,0.0642,-0.0096,0.0086,0.1398,0
479645,0.9979,0.0054,-0.0019,0.0645,-0.0091,-0.0032,0.1574,0
479812,0.9979,0.0054,-0.0019,0.0646,0.0022,0.0000,0.1568,0
479978,0.9979,0.0055,-0.0019,0.0647,0.0014,0.0098,0.1659,0
480145,0.9979,0.0055,-0.0019,0.0649,0.0025,0.0090,0.1568,0
480312,0.9979,0.0056,-0.0019,0.0651,-0.0105,-0.0021,0.1549,0
480478,0.9978,0.0056,-0.0019,0.0654,-0.0153,0.0061,0.1338,0
480645,0.9978,0.0057,-0.0019,0.0656,0.0060,-0.0144,0.1531,0
480812,0.9978,0.0057,-0.0019,0.0658,-0.0113,-0.0013,0.1530,0
480978,0.9978,0.0057,-0.0019,0.0659,-0.0013,0.0011,0.1593,0
481145,0.9978,0.0058,-0.0019,0.0660,0.0023,-0.0061,0.1684,0
481312,0.9978,0.0058,-0.0018,0.0661,0.0151,0.0044,0.1544,0
481478,0.9978,0.0058,-0.0018,0.0662,-0.0121,0.0028,0.1404,0
481645,0.9978,0.0059,-0.0018,0.0663,0.0087,-0.0107,0.1440,0
481812,0.9978,0.0059,-0.0018,0.0664,0.0007,-0.0025,0.1503,0
481978,0.9978,0.0059,-0.0018,0.0665,-0.0013,-0.0089,0.1526,0
482145,0.9978,0.0060,-0.0018,0.0666,0.0077,-0.0101,0.1580,0
482312,0.9978,0.0060,-0.0018,0.0667,0.0114,0.0013,0.1710,0
482478,0.9977,0.0061,-0.0018,0.0669,0.0134,-0.0092,0.1478,0
482645,0.9977,0.0061,-0.0018,0.0670,0.0045,-0.0242,0.1546,0
482812,0.9977,0.0061,-0.0018,0.0672,-0.0133,-0.0075,0.1523,0
482978,0.9977,0.0061,-0.0018,0.0673,0.0061,-0.0173,0.1603,0
483145,0.9977,0.0062,-0.0018,0.0674,0.0037,-0.0011,0.1514,0
483312,0.9977,0.0062,-0.0018,0.0675,0.0106,-0.0208,0.1418,0
483478,0.9977,0.0063,-0.0018,0.0676,-0.0037,-0.0069,0.1785,0
483645,0.9977,0.0063,-0.0018,0.0678,-0.0051,0.0003,0.1819,0
483812,0.9977,0.0063,-0.0018,0.0679,-0.0090,-0.0283,0.1498,0
483978,0.9977,0.0063,-0.0018,0.0680,0.0089,-0.0192,0.1699,0
484145,0.9977,0.0064,-0.0018,0.0682,0.0034,-0.0060,0.1585,0
484312,0.9976,0.0064,-0.0018,0.0683,-0.0012,-0.0244,0.1673,0
484478,0.9976,0.0064,-0.0018,0.0684,0.0045,-0.0209,0.1744,0
484645,0.9976,0.0064,-0.0018,0.0685,-0.0186,-0.0194,0.1569,0
484812,0.9976,0.0065,-0.0018,0.0686,-0.0079,-0.0341,0.1637,0
484978,0.9976,0.0065,-0.0017,0.0687,-0.0031,-0.0097,0.1316,0
