DeviceTag: Movella DOT0,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-11-15 20:46:56.659,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
381576,0.3732,0.0019,-0.0037,-0.9278,0.0037,-0.0072,0.1675,0
381743,0.3732,0.0020,-0.0041,-0.9278,-0.0103,-0.0003,0.1694,0
381910,0.3732,0.0020,-0.0043,-0.9278,-0.0091,0.0042,0.1688,0
382076,0.3730,0.0020,-0.0045,-0.9278,0.0001,-0.0182,0.1709,0
382243,0.3733,0.0020,-0.0048,-0.9277,0.0041,-0.0034,0.1461,0
382410,0.3734,0.0021,-0.0051,-0.9277,0.0103,0.0077,0.1641,0
382576,0.3733,0.0022,-0.0053,-0.9277,-0.0015,0.0097,0.1622,0
382743,0.3733,0.0023,-0.0055,-0.9277,-0.0161,0.0162,0.1695,0
382910,0.3735,0.0024,-0.0057,-0.9276,-0.0379,0.0254,0.1644,0
383076,0.3736,0.0024,-0.0059,-0.9276,-0.0304,0.0135,0.1584,0
383243,0.3739,0.0025,-0.0061,-0.9275,-0.0268,0.0175,0.1744,0
383410,0.3739,0.0025,-0.0062,-0.9274,-0.0259,0.0289,0.1455,0
383576,0.3741,0.0026,-0.0064,-0.9274,-0.0183,0.0441,0.1668,0
383743,0.3742,0.0026,-0.0066,-0.9273,-0.0239,0.0404,0.1604,0
383910,0.3743,0.0027,-0.0067,-0.9273,-0.0355,0.0466,0.1766,0
384077,0.3744,0.0028,-0.0069,-0.9272,-0.0295,0.0504,0.1696,0
384243,0.3745,0.0028,-0.0070,-0.9272,-0.0383,0.0371,0.1833,0
384410,0.3747,0.0029,-0.0072,-0.9271,-0.0451,0.0359,0.1610,0
384577,0.3749,0.0030,-0.0073,-0.9270,-0.0491,0.0304,0.1859,0
384743,0.3751,0.0030,-0.0075,-0.9269,-0.0517,0.0558,0.1872,0
384910,0.3753,0.0031,-0.0077,-0.9269,-0.0388,0.0507,0.1659,0
385077,0.3754,0.0032,-0.0078,-0.9268,-0.0508,0.0450,0.1681,0
385243,0.3755,0.0032,-0.0080,-0.9268,-0.0519,0.0504,0.1814,0
385410,0.3756,0.0033,-0.0081,-0.9267,-0.0485,0.0635,0.1750,0
385577,0.3758,0.0034,-0.0083,-0.9267,-0.0527,0.0756,0.1671,0
385743,0.3758,0.0034,-0.0085,-0.9266,-0.0504,0.0760,0.1636,0
385910,0.3759,0.0035,-0.0086,-0.9266,-0.0569,0.0732,0.1863,0
386077,0.3760,0.0036,-0.0088,-0.9266,-0.0641,0.0831,0.1797,0
386243,0.3761,0.0036,-0.0089,-0.9265,-0.0718,0.0922,0.1712,0
386410,0.3763,0.0037,-0.0091,-0.9265,-0.0731,0.0741,0.1640,0
386577,0.3764,0.0037,-0.0093,-0.9264,-0.0721,0.0578,0.1788,0
386743,0.3764,0.0038,-0.0094,-0.9264,-0.0778,0.0629,0.1631,0
386910,0.3764,0.0039,-0.0096,-0.9264,-0.0731,0.0663,0.1830,0
387077,0.3766,0.0039,-0.0098,-0.9263,-0.0768,0.0868,0.1846,0
387243,0.3767,0.0040,-0.0099,-0.9263,-0.0896,0.1094,0.1489,0
387410,0.3768,0.0041,-0.0101,-0.9262,-0.0943,0.0923,0.1525,0
387577,0.3769,0.0041,-0.0102,-0.9262,-0.0855,0.0891,0.1718,0
387743,0.3769,0.0042,-0.0104,-0.9262,-0.0905,0.0768,0.1523,0
387910,0.3771,0.0043,-0.0106,-0.9261,-0.0889,0.0932,0.1561,0
