DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-04-27 20:10:24.664,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1251187,0.9787,-0.0185,-0.0828,-0.1871,0.0133,-0.0272,-0.9314,0
1251354,0.9786,-0.0186,-0.0830,-0.1875,0.0039,-0.0141,-0.9477,0
1251520,0.9785,-0.0188,-0.0831,-0.1876,-0.0037,-0.0239,-0.9296,0
1251687,0.9786,-0.0189,-0.0833,-0.1874,-0.0079,-0.0075,-0.9522,0
1251854,0.9785,-0.0190,-0.0833,-0.1875,-0.0004,-0.0017,-0.9168,0
1252020,0.9786,-0.0191,-0.0834,-0.1873,0.0109,-0.0033,-0.9203,0
1252187,0.9785,-0.0190,-0.0834,-0.1874,-0.0168,-0.0048,-0.9126,0
1252354,0.9785,-0.0190,-0.0835,-0.1874,-0.0049,-0.0027,-0.9085,0
1252520,0.9785,-0.0190,-0.0835,-0.1875,-0.0156,-0.0150,-0.9455,0
1252687,0.9785,-0.0190,-0.0835,-0.1875,-0.0093,0.0044,-0.9136,0
1252854,0.9785,-0.0189,-0.0836,-0.1876,-0.0148,-0.0079,-0.9313,0
1253020,0.9785,-0.0189,-0.0836,-0.1874,-0.0160,-0.0026,-0.9561,0
1253187,0.9785,-0.0189,-0.0836,-0.1874,-0.0296,-0.0161,-0.9104,0
1253354,0.9785,-0.0188,-0.0837,-0.1873,-0.0237,-0.0041,-0.9350,0
1253520,0.9786,-0.0188,-0.0837,-0.1872,-0.0028,0.0111,-0.9146,0
1253687,0.9786,-0.0187,-0.0837,-0.1871,-0.0018,-0.0127,-0.9327,0
1253854,0.9786,-0.0187,-0.0838,-0.1871,-0.0055,-0.0031,-0.9232,0
1254020,0.9786,-0.0186,-0.0838,-0.1870,-0.0225,-0.0075,-0.9215,0
1254187,0.9786,-0.0186,-0.0838,-0.1868,-0.0115,-0.0202,-0.9333,0
1254354,0.9787,-0.0185,-0.0839,-0.1866,-0.0268,-0.0013,-0.9200,0
1254520,0.9787,-0.0185,-0.0839,-0.1866,-0.0222,-0.0114,-0.9115,0
1254687,0.9787,-0.0184,-0.0839,-0.1866,-0.0141,-0.0190,-0.9486,0
1254854,0.9787,-0.0184,-0.0840,-0.1865,-0.0056,-0.0139,-0.9390,0
1255020,0.9787,-0.0183,-0.0840,-0.1864,-0.0224,-0.0106,-0.9350,0
1255187,0.9787,-0.0183,-0.0840,-0.1863,-0.0346,-0.0013,-0.9467,0
1255354,0.9787,-0.0182,-0.0841,-0.1863,-0.0302,-0.0104,-0.9337,0
1255520,0.9787,-0.0182,-0.0841,-0.1862,-0.0095,-0.0143,-0.9277,0
1255687,0.9788,-0.0182,-0.0842,-0.1861,-0.0324,-0.0076,-0.9377,0
1255854,0.9788,-0.0181,-0.0842,-0.1860,-0.0153,-0.0035,-0.9272,0
1256020,0.9788,-0.0180,-0.0842,-0.1859,-0.0196,-0.0169,-0.9238,0
1256187,0.9788,-0.0180,-0.0843,-0.1859,-0.0221,-0.0144,-0.9407,0
1256354,0.9788,-0.0179,-0.0843,-0.1858,-0.0120,-0.0114,-0.9241,0
1256520,0.9788,-0.0179,-0.0843,-0.1859,-0.0288,-0.0230,-0.9385,0
1256687,0.9788,-0.0179,-0.0844,-0.1858,-0.0301,-0.0146,-0.9310,0
1256854,0.9788,-0.0178,-0.0844,-0.1857,-0.0248,-0.0117,-0.9374,0
1257020,0.9788,-0.0178,-0.0845,-0.1857,-0.0333,-0.0231,-0.9301,0
1257187,0.9788,-0.0177,-0.0845,-0.1856,-0.0296,-0.0095,-0.9355,0
1257354,0.9788,-0.0176,-0.0845,-0.1855,-0.0347,-0.0292,-0.9093,0
1257520,0.9788,-0.0176,-0.0846,-0.1855,-0.0230,-0.0249,-0.9416,0
1257687,0.9789,-0.0175,-0.0846,-0.1854,-0.0320,-0.0266,-0.9402,0
1257854,0.9789,-0.0175,-0.0847,-0.1853,-0.0219,-0.0231,-0.9350,0
1258020,0.9789,-0.0174,-0.0847,-0.1853,-0.0302,-0.0223,-0.9265,0
1258187,0.9789,-0.0174,-0.0848,-0.1852,-0.0275,-0.0348,-0.9477,0
1258354,0.9789,-0.0173,-0.0848,-0.1852,-0.0350,-0.0235,-0.9340,0
1258520,0.9789,-0.0173,-0.0849,-0.1850,-0.0409,-0.0234,-0.9372,0
1258687,0.9789,-0.0172,-0.0849,-0.1850,-0.0410,-0.0338,-0.9367,0
1258854,0.9789,-0.0172,-0.0849,-0.1850,-0.0387,-0.0165,-0.9406,0
1259020,0.9789,-0.0171,-0.0850,-0.1848,-0.0397,-0.0243,-0.9457,0
1259187,0.9790,-0.0171,-0.0850,-0.1847,-0.0452,-0.0222,-0.9320,0
1259354,0.9790,-0.0170,-0.0851,-0.1847,-0.0471,-0.0223,-0.9144,0
1259520,0.9790,-0.0170,-0.0851,-0.1847,-0.0513,-0.0329,-0.9128,0
1259687,0.9790,-0.0169,-0.0851,-0.1846,-0.0455,-0.0434,-0.9433,0
1259854,0.9790,-0.0169,-0.0852,-0.1846,-0.0396,-0.0354,-0.9429,0
1260020,0.9790,-0.0168,-0.0852,-0.1845,-0.0374,-0.0205,-0.9463,0
1260187,0.9790,-0.0168,-0.0852,-0.1844,-0.0546,-0.0436,-0.9082,0
1260354,0.9790,-0.0167,-0.0853,-0.1843,-0.0512,-0.0347,-0.9285,0
1260520,0.9790,-0.0167,-0.0853,-0.1842,-0.0323,-0.0447,-0.9382,0
1260687,0.9790,-0.0166,-0.0854,-0.1842,-0.0348,-0.0486,-0.9394,0
1260854,0.9790,-0.0166,-0.0854,-0.1841,-0.0288,-0.0438,-0.9272,0
1261020,0.9791,-0.0165,-0.0854,-0.1840,-0.0497,-0.0376,-0.9321,0
1261187,0.9791,-0.0165,-0.0855,-0.1839,-0.0425,-0.0353,-0.9209,0
1261354,0.9791,-0.0164,-0.0855,-0.1839,-0.0560,-0.0418,-0.9331,0
1261520,0.9791,-0.0164,-0.0856,-0.1839,-0.0520,-0.0234,-0.9082,0
1261687,0.9791,-0.0163,-0.0856,-0.1839,-0.0548,-0.0351,-0.9309,0
1261854,0.9791,-0.0163,-0.0856,-0.1839,-0.0517,-0.0365,-0.9098,0
1262020,0.9791,-0.0162,-0.0857,-0.1838,-0.0590,-0.0375,-0.9248,0
1262187,0.9791,-0.0162,-0.0857,-0.1838,-0.0518,-0.0443,-0.9237,0
1262354,0.9791,-0.0162,-0.0858,-0.1837,-0.0378,-0.0512,-0.9285,0
1262520,0.9791,-0.0161,-0.0858,-0.1837,-0.0615,-0.0356,-0.9014,0
1262687,0.9791,-0.0161,-0.0858,-0.1837,-0.0517,-0.0415,-0.9313,0
1262854,0.9791,-0.0160,-0.0859,-0.1836,-0.0591,-0.0439,-0.9380,0
1263020,0.9791,-0.0160,-0.0859,-0.1836,-0.0506,-0.0326,-0.9159,0
1263187,0.9791,-0.0160,-0.0860,-0.1836,-0.0475,-0.0346,-0.9308,0
1263354,0.9791,-0.0159,-0.0860,-0.1835,-0.0525,-0.0454,-0.9556,0
1263520,0.9791,-0.0159,-0.0860,-0.1835,-0.0592,-0.0415,-0.9237,0
1263687,0.9791,-0.0158,-0.0861,-0.1834,-0.0681,-0.0567,-0.9269,0
1263854,0.9791,-0.0158,-0.0861,-0.1834,-0.0618,-0.0471,-0.9485,0
1264020,0.9791,-0.0157,-0.0861,-0.1834,-0.0654,-0.0532,-0.9300,0
1264187,0.9791,-0.0157,-0.0862,-0.1833,-0.0631,-0.0524,-0.9402,0
1264354,0.9791,-0.0156,-0.0862,-0.1833,-0.0569,-0.0473,-0.9183,0
1264520,0.9791,-0.0156,-0.0862,-0.1833,-0.0605,-0.0373,-0.9177,0
