DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-12-02 18:04:02.539,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
3971346,0.8380,-0.0486,0.0157,0.5432,0.0033,-0.0107,-0.1500,0
3971512,0.8381,-0.0484,0.0156,0.5431,0.0176,-0.0047,-0.1507,0
3971679,0.8383,-0.0484,0.0154,0.5428,0.0110,-0.0184,-0.1606,0
3971846,0.8383,-0.0484,0.0153,0.5428,0.0117,-0.0052,-0.1566,0
3972012,0.8384,-0.0483,0.0152,0.5427,0.0104,-0.0038,-0.1049,0
3972179,0.8383,-0.0482,0.0151,0.5429,-0.0019,-0.0244,-0.1558,0
3972346,0.8383,-0.0481,0.0150,0.5430,0.0027,-0.0111,-0.1580,0
3972512,0.8382,-0.0479,0.0149,0.5430,0.0096,-0.0027,-0.1465,0
3972679,0.8383,-0.0478,0.0148,0.5429,0.0094,-0.0224,-0.1585,0
3972846,0.8382,-0.0476,0.0148,0.5431,0.0005,-0.0255,-0.1627,0
3973012,0.8382,-0.0475,0.0147,0.5430,0.0071,-0.0258,-0.1579,0
3973179,0.8382,-0.0473,0.0146,0.5432,0.0010,-0.0433,-0.1404,0
3973346,0.8381,-0.0471,0.0146,0.5432,0.0029,-0.0400,-0.1499,0
3973512,0.8381,-0.0470,0.0145,0.5432,0.0205,-0.0324,-0.1434,0
3973679,0.8381,-0.0468,0.0145,0.5433,0.0133,-0.0498,-0.1556,0
3973846,0.8381,-0.0467,0.0144,0.5434,0.0047,-0.0480,-0.1502,0
3974012,0.8380,-0.0466,0.0144,0.5434,0.0118,-0.0556,-0.1444,0
3974179,0.8382,-0.0464,0.0143,0.5432,0.0054,-0.0389,-0.1539,0
3974346,0.8382,-0.0463,0.0143,0.5432,0.0056,-0.0443,-0.1450,0
3974512,0.8380,-0.0461,0.0142,0.5435,0.0101,-0.0492,-0.1416,0
3974679,0.8381,-0.0459,0.0142,0.5434,0.0140,-0.0598,-0.1369,0
3974846,0.8382,-0.0458,0.0141,0.5433,0.0061,-0.0693,-0.1490,0
3975012,0.8383,-0.0456,0.0141,0.5431,0.0098,-0.0729,-0.1377,0
3975179,0.8383,-0.0455,0.0140,0.5432,0.0289,-0.0553,-0.1524,0
3975346,0.8383,-0.0453,0.0140,0.5432,0.0074,-0.0650,-0.1316,0
3975512,0.8385,-0.0452,0.0139,0.5429,0.0128,-0.0741,-0.1127,0
3975679,0.8385,-0.0450,0.0139,0.5429,0.0098,-0.0656,-0.1259,0
3975846,0.8383,-0.0449,0.0138,0.5432,0.0161,-0.0684,-0.1434,0
3976012,0.8381,-0.0447,0.0138,0.5434,0.0160,-0.0782,-0.1545,0
3976179,0.8381,-0.0445,0.0137,0.5435,0.0148,-0.0829,-0.1480,0
3976346,0.8381,-0.0444,0.0137,0.5435,0.0206,-0.0972,-0.1387,0
3976512,0.8381,-0.0442,0.0136,0.5435,0.0221,-0.0933,-0.1525,0
3976679,0.8379,-0.0441,0.0135,0.5438,0.0111,-0.1012,-0.1340,0
3976846,0.8379,-0.0439,0.0135,0.5439,0.0316,-0.0935,-0.1487,0
3977012,0.8379,-0.0438,0.0134,0.5439,0.0331,-0.1116,-0.1452,0
3977179,0.8378,-0.0436,0.0133,0.5440,0.0400,-0.1081,-0.1487,0
3977346,0.8378,-0.0435,0.0133,0.5441,0.0236,-0.1027,-0.1589,0
3977512,0.8379,-0.0434,0.0133,0.5440,0.0249,-0.1054,-0.1488,0
3977679,0.8380,-0.0432,0.0132,0.5438,0.0410,-0.1136,-0.1504,0
3977846,0.8379,-0.0430,0.0131,0.5440,0.0272,-0.1130,-0.1282,0
3978012,0.8379,-0.0429,0.0131,0.5439,0.0230,-0.1231,-0.1307,0
3978179,0.8379,-0.0427,0.0130,0.5440,0.0380,-0.1170,-0.1332,0
3978346,0.8378,-0.0426,0.0130,0.5441,0.0331,-0.1250,-0.1429,0
3978512,0.8377,-0.0424,0.0129,0.5443,0.0358,-0.1402,-0.1479,0
3978679,0.8376,-0.0423,0.0128,0.5444,0.0246,-0.1260,-0.1252,0
3978846,0.8378,-0.0421,0.0128,0.5442,0.0241,-0.1298,-0.1589,0
3979012,0.8377,-0.0420,0.0127,0.5444,0.0168,-0.1471,-0.1552,0
3979179,0.8377,-0.0419,0.0126,0.5443,0.0342,-0.1472,-0.1519,0
3979346,0.8378,-0.0417,0.0126,0.5442,0.0345,-0.1392,-0.1509,0
3979512,0.8380,-0.0416,0.0126,0.5440,0.0350,-0.1396,-0.1316,0
3979679,0.8382,-0.0414,0.0125,0.5436,0.0333,-0.1481,-0.1460,0
3979846,0.8383,-0.0413,0.0125,0.5435,0.0344,-0.1494,-0.1683,0
3980012,0.8387,-0.0411,0.0124,0.5429,0.0356,-0.1571,-0.1442,0
3980179,0.8387,-0.0410,0.0124,0.5429,0.0355,-0.1526,-0.1146,0
3980346,0.8388,-0.0408,0.0123,0.5428,0.0278,-0.1577,-0.1334,0
3980512,0.8389,-0.0407,0.0123,0.5426,0.0455,-0.1646,-0.1349,0
3980679,0.8389,-0.0405,0.0122,0.5426,0.0409,-0.1569,-0.1468,0
3980846,0.8390,-0.0404,0.0122,0.5425,0.0246,-0.1588,-0.1482,0
3981012,0.8390,-0.0402,0.0121,0.5426,0.0264,-0.1666,-0.1479,0
3981179,0.8389,-0.0401,0.0121,0.5427,0.0367,-0.1784,-0.1375,0
3981346,0.8389,-0.0399,0.0120,0.5427,0.0548,-0.1865,-0.1277,0
3981512,0.8389,-0.0398,0.0120,0.5427,0.0353,-0.1850,-0.1341,0
3981679,0.8389,-0.0396,0.0119,0.5427,0.0348,-0.1873,-0.1493,0
3981846,0.8390,-0.0395,0.0119,0.5426,0.0343,-0.1821,-0.1412,0
3982013,0.8390,-0.0393,0.0118,0.5426,0.0423,-0.1987,-0.1480,0
3982179,0.8390,-0.0392,0.0118,0.5426,0.0389,-0.1921,-0.1289,0
3982346,0.8389,-0.0390,0.0117,0.5428,0.0541,-0.1898,-0.1346,0
3982513,0.8389,-0.0389,0.0117,0.5428,0.0488,-0.1833,-0.1346,0
3982679,0.8389,-0.0388,0.0116,0.5427,0.0486,-0.2155,-0.1379,0
3982846,0.8390,-0.0386,0.0116,0.5426,0.0423,-0.1980,-0.1424,0
3983013,0.8391,-0.0385,0.0115,0.5425,0.0449,-0.2018,-0.1353,0
3983179,0.8392,-0.0384,0.0115,0.5424,0.0426,-0.2101,-0.1565,0
3983346,0.8392,-0.0382,0.0114,0.5423,0.0454,-0.2140,-0.1617,0
3983513,0.8392,-0.0381,0.0114,0.5424,0.0713,-0.2291,-0.1587,0
3983679,0.8392,-0.0379,0.0113,0.5424,0.0569,-0.2183,-0.1351,0
3983846,0.8392,-0.0378,0.0113,0.5424,0.0429,-0.2147,-0.1536,0
3984013,0.8393,-0.0377,0.0113,0.5423,0.0566,-0.2211,-0.1549,0
3984179,0.8393,-0.0376,0.0112,0.5423,0.0624,-0.2240,-0.1298,0
3984346,0.8393,-0.0374,0.0112,0.5422,0.0441,-0.2263,-0.1254,0
3984513,0.8394,-0.0373,0.0111,0.5422,0.0417,-0.2312,-0.1397,0
3984679,0.8393,-0.0372,0.0111,0.5423,0.0492,-0.2337,-0.1475,0
3984846,0.8393,-0.0370,0.0110,0.5423,0.0506,-0.2441,-0.1652,0
