DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-12-02 18:04:02.724,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
126045,0.9172,-0.0438,0.0225,0.3953,0.0109,0.0125,-0.0323,0
126212,0.9175,-0.0433,0.0226,0.3947,0.0073,-0.0054,-0.0366,0
126378,0.9175,-0.0430,0.0227,0.3947,0.0120,0.0047,-0.0219,0
126545,0.9175,-0.0426,0.0228,0.3947,0.0150,-0.0242,-0.0258,0
126712,0.9177,-0.0424,0.0229,0.3943,0.0212,-0.0178,-0.0332,0
126878,0.9177,-0.0421,0.0230,0.3943,0.0416,-0.0160,-0.0455,0
127045,0.9177,-0.0419,0.0230,0.3943,0.0269,-0.0245,-0.0489,0
127212,0.9179,-0.0416,0.0231,0.3940,0.0276,-0.0427,-0.0426,0
127378,0.9180,-0.0414,0.0232,0.3938,0.0375,-0.0309,-0.0629,0
127545,0.9181,-0.0412,0.0233,0.3935,0.0336,-0.0296,-0.0450,0
127712,0.9182,-0.0409,0.0235,0.3934,0.0408,-0.0481,-0.0518,0
127878,0.9183,-0.0406,0.0236,0.3932,0.0547,-0.0343,-0.0399,0
128045,0.9184,-0.0404,0.0237,0.3929,0.0504,-0.0235,-0.0673,0
128212,0.9185,-0.0401,0.0239,0.3926,0.0437,-0.0567,-0.0424,0
128379,0.9186,-0.0398,0.0240,0.3925,0.0433,-0.0629,-0.0352,0
128545,0.9187,-0.0395,0.0241,0.3923,0.0609,-0.0728,-0.0621,0
128712,0.9188,-0.0392,0.0243,0.3919,0.0644,-0.0591,-0.0244,0
128879,0.9190,-0.0389,0.0244,0.3915,0.0609,-0.0675,-0.0432,0
129045,0.9191,-0.0386,0.0245,0.3913,0.0817,-0.0803,-0.0532,0
129212,0.9191,-0.0384,0.0247,0.3913,0.0785,-0.0830,-0.0285,0
129379,0.9191,-0.0381,0.0248,0.3914,0.0779,-0.0779,-0.0402,0
129545,0.9192,-0.0378,0.0249,0.3911,0.0860,-0.0809,-0.0396,0
129712,0.9194,-0.0375,0.0251,0.3907,0.1025,-0.0948,-0.0375,0
129879,0.9196,-0.0372,0.0252,0.3904,0.0890,-0.0925,-0.0503,0
130045,0.9195,-0.0370,0.0254,0.3904,0.1021,-0.1007,-0.0446,0
130212,0.9197,-0.0367,0.0255,0.3902,0.1072,-0.0985,-0.0333,0
130379,0.9198,-0.0364,0.0256,0.3898,0.1146,-0.1090,-0.0484,0
130545,0.9199,-0.0361,0.0258,0.3896,0.1237,-0.1022,-0.0527,0
130712,0.9199,-0.0358,0.0259,0.3896,0.1196,-0.1178,-0.0317,0
130879,0.9201,-0.0355,0.0260,0.3891,0.1263,-0.1221,-0.0259,0
131045,0.9203,-0.0353,0.0262,0.3887,0.1415,-0.1231,-0.0598,0
131212,0.9204,-0.0350,0.0263,0.3885,0.1382,-0.1398,-0.0435,0
131379,0.9205,-0.0347,0.0264,0.3882,0.1344,-0.1380,-0.0342,0
131545,0.9207,-0.0344,0.0266,0.3879,0.1340,-0.1238,-0.0291,0
131712,0.9208,-0.0341,0.0267,0.3876,0.1455,-0.1289,-0.0301,0
131879,0.9209,-0.0338,0.0268,0.3873,0.1454,-0.1364,-0.0375,0
132045,0.9211,-0.0335,0.0270,0.3869,0.1473,-0.1428,-0.0552,0
132212,0.9212,-0.0333,0.0271,0.3867,0.1597,-0.1576,-0.0435,0
132379,0.9213,-0.0330,0.0272,0.3865,0.1658,-0.1547,-0.0162,0
132545,0.9214,-0.0327,0.0274,0.3862,0.1711,-0.1507,-0.0496,0
132712,0.9215,-0.0324,0.0275,0.3859,0.1754,-0.1618,-0.0458,0
132879,0.9217,-0.0321,0.0276,0.3857,0.1730,-0.1775,-0.0567,0
133045,0.9218,-0.0318,0.0277,0.3854,0.1835,-0.1733,-0.0239,0
133212,0.9219,-0.0315,0.0279,0.3851,0.1836,-0.1698,-0.0313,0
133379,0.9220,-0.0312,0.0280,0.3848,0.1976,-0.1737,-0.0513,0
133545,0.9222,-0.0310,0.0281,0.3845,0.1909,-0.1855,-0.0377,0
133712,0.9223,-0.0307,0.0283,0.3842,0.2015,-0.1776,-0.0385,0
133879,0.9224,-0.0304,0.0284,0.3839,0.2005,-0.1896,-0.0394,0
134045,0.9226,-0.0301,0.0285,0.3836,0.2052,-0.2088,-0.0602,0
134212,0.9228,-0.0298,0.0287,0.3831,0.2185,-0.1980,-0.0474,0
134379,0.9229,-0.0295,0.0288,0.3828,0.2200,-0.2093,-0.0344,0
134545,0.9230,-0.0293,0.0289,0.3825,0.2159,-0.2125,-0.0469,0
134712,0.9232,-0.0290,0.0291,0.3822,0.2209,-0.2094,-0.0341,0
134879,0.9233,-0.0287,0.0292,0.3819,0.2124,-0.2109,-0.0404,0
135045,0.9234,-0.0284,0.0293,0.3816,0.2287,-0.2228,-0.0511,0
135212,0.9235,-0.0282,0.0295,0.3813,0.2345,-0.2164,-0.0431,0
135379,0.9237,-0.0279,0.0296,0.3811,0.2309,-0.2363,-0.0618,0
135545,0.9238,-0.0276,0.0297,0.3808,0.2370,-0.2336,-0.0572,0
135712,0.9239,-0.0273,0.0298,0.3804,0.2463,-0.2431,-0.0459,0
135879,0.9240,-0.0271,0.0299,0.3802,0.2551,-0.2564,-0.0713,0
136045,0.9242,-0.0268,0.0301,0.3799,0.2440,-0.2437,-0.0448,0
136212,0.9243,-0.0265,0.0302,0.3796,0.2407,-0.2376,-0.0735,0
136379,0.9244,-0.0262,0.0303,0.3793,0.2530,-0.2299,-0.0656,0
136545,0.9245,-0.0260,0.0304,0.3791,0.2655,-0.2535,-0.0466,0
136712,0.9246,-0.0257,0.0305,0.3787,0.2660,-0.2563,-0.0687,0
136879,0.9248,-0.0254,0.0307,0.3785,0.2600,-0.2693,-0.0357,0
137045,0.9249,-0.0252,0.0308,0.3782,0.2783,-0.2606,-0.0548,0
137212,0.9250,-0.0249,0.0309,0.3779,0.2776,-0.2757,-0.0610,0
137379,0.9251,-0.0246,0.0310,0.3777,0.2949,-0.2724,-0.0472,0
137545,0.9252,-0.0244,0.0311,0.3774,0.2838,-0.2825,-0.0540,0
137712,0.9253,-0.0241,0.0312,0.3771,0.2892,-0.2854,-0.0631,0
137879,0.9254,-0.0238,0.0313,0.3769,0.2862,-0.2848,-0.0271,0
138045,0.9255,-0.0236,0.0314,0.3766,0.2971,-0.2805,-0.0470,0
138212,0.9257,-0.0233,0.0316,0.3763,0.3020,-0.2839,-0.0569,0
138379,0.9258,-0.0231,0.0317,0.3761,0.3173,-0.3107,-0.0493,0
138545,0.9259,-0.0228,0.0318,0.3758,0.3074,-0.3086,-0.0585,0
138712,0.9260,-0.0226,0.0319,0.3756,0.3165,-0.3105,-0.0527,0
138879,0.9261,-0.0223,0.0320,0.3753,0.2940,-0.3031,-0.0571,0
139045,0.9262,-0.0221,0.0321,0.3750,0.3203,-0.3234,-0.0529,0
139212,0.9263,-0.0218,0.0322,0.3747,0.3258,-0.3212,-0.0465,0
139379,0.9264,-0.0216,0.0323,0.3745,0.3160,-0.3381,-0.0353,0
139545,0.9265,-0.0213,0.0324,0.3742,0.3196,-0.3411,-0.0663,0
139712,0.9267,-0.0211,0.0325,0.3739,0.3182,-0.3522,-0.0516,0
139879,0.9268,-0.0208,0.0326,0.3736,0.3331,-0.3330,-0.0489,0
140045,0.9269,-0.0206,0.0327,0.3733,0.3338,-0.3407,-0.0336,0
140212,0.9270,-0.0204,0.0328,0.3730,0.3409,-0.3363,-0.0467,0
140379,0.9271,-0.0201,0.0329,0.3728,0.3478,-0.3502,-0.0653,0
140545,0.9272,-0.0199,0.0330,0.3725,0.3321,-0.3516,-0.0516,0
140712,0.9273,-0.0197,0.0331,0.3723,0.3514,-0.3494,-0.0417,0
140879,0.9274,-0.0194,0.0332,0.3720,0.3476,-0.3539,-0.0431,0
141045,0.9276,-0.0192,0.0333,0.3717,0.3555,-0.3621,-0.0582,0
141212,0.9277,-0.0190,0.0334,0.3714,0.3716,-0.3585,-0.0543,0
141379,0.9278,-0.0188,0.0335,0.3711,0.3592,-0.3678,-0.0402,0
141545,0.9279,-0.0186,0.0335,0.3709,0.3739,-0.3693,-0.0521,0
141712,0.9280,-0.0184,0.0336,0.3706,0.3711,-0.3774,-0.0689,0
141879,0.9281,-0.0181,0.0337,0.3703,0.3736,-0.3811,-0.0501,0
142045,0.9282,-0.0179,0.0338,0.3700,0.3686,-0.3902,-0.0559,0
142212,0.9283,-0.0177,0.0339,0.3698,0.3735,-0.3927,-0.0442,0
142379,0.9284,-0.0175,0.0340,0.3695,0.3616,-0.3931,-0.0577,0
142545,0.9286,-0.0173,0.0341,0.3692,0.3699,-0.3871,-0.0487,0
142712,0.9287,-0.0171,0.0341,0.3690,0.3840,-0.3959,-0.0597,0
142879,0.9288,-0.0169,0.0342,0.3687,0.3881,-0.4011,-0.0582,0
143045,0.9289,-0.0168,0.0343,0.3684,0.3891,-0.3977,-0.0658,0
143212,0.9290,-0.0166,0.0344,0.3682,0.3854,-0.4003,-0.0571,0
143379,0.9291,-0.0164,0.0345,0.3679,0.3834,-0.3982,-0.0325,0
143545,0.9292,-0.0162,0.0345,0.3677,0.3969,-0.4100,-0.0452,0
143712,0.9293,-0.0160,0.0346,0.3674,0.3857,-0.4075,-0.0509,0
143879,0.9294,-0.0159,0.0347,0.3671,0.3934,-0.4179,-0.0550,0
144045,0.9295,-0.0157,0.0347,0.3669,0.4080,-0.4113,-0.0688,0
144212,0.9296,-0.0155,0.0348,0.3666,0.4120,-0.4122,-0.0755,0
144379,0.9297,-0.0153,0.0349,0.3663,0.4049,-0.4295,-0.0759,0
144545,0.9298,-0.0152,0.0350,0.3660,0.4080,-0.4241,-0.0340,0
144712,0.9299,-0.0150,0.0350,0.3657,0.4111,-0.4292,-0.0534,0
144879,0.9301,-0.0149,0.0351,0.3654,0.4060,-0.4368,-0.0618,0
